Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,tariff (product.metafields.custom.tariff),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tariff-test-product,Tariff test product,"",Jeffrey Shop,Product Add-Ons > Product Customization,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,2349823490234.00,,true,true,"",,,,false,,,,,,,,,,,,,,TRUE,,,,lb,,,active
10-tariff,10% Tariff,"",Jeffrey Shop,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,lb,,,active
test-inventory-and-weight-multiple-variants-no-weight,Test inventory and weight - multiple variants - no weight,"",Jeffrey Shop,Business & Industrial > Advertising & Marketing > Trade Show Displays,"","",true,SIze,S,,,,,,,,'12312312,0.0,shopify,deny,manual,10.00,,true,true,"",,,,false,,,5865,,,,,,,,,,,,,,,lb,,,active
test-inventory-and-weight-multiple-variants-no-weight,,,,,,,,,M,,,,,,,,'1231231213,0.0,shopify,deny,manual,10.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,lb,,,
test-inventory-and-weight-multiple-variants-no-weight,,,,,,,,,L,,,,,,,,'1231213123213,0.0,shopify,deny,manual,10.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,lb,,,
test-inventory-and-weight-multiple-variants-no-sku,Test inventory and weight - multiple variants - no SKU,"",Jeffrey Shop,Business & Industrial > Advertising & Marketing,"","",true,Size,S,,,,,,,,"",0.0,shopify,deny,manual,101.00,,true,true,"",,,,false,,,5863,,,,,,,,,,,,,,,lb,,,active
test-inventory-and-weight-multiple-variants-no-sku,,,,,,,,,M,,,,,,,,"",0.0,shopify,deny,manual,101.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,lb,,,
test-inventory-and-weight-multiple-variants-no-sku,,,,,,,,,L,,,,,,,,"",0.0,shopify,deny,manual,102.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,lb,,,
test-inventory-and-weight-single-variant-no-weight,Test inventory and weight - single variant - no weight,"",Jeffrey Shop,Product Add-Ons,"","",true,Title,Default Title,,,,,,,,'123123,0.0,shopify,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,lb,,40.00,active
test-inventory-and-weight-single-variant-no-sku,Test inventory and weight - single variant - no SKU,"",Jeffrey Shop,Product Add-Ons > Product Customization,"","",true,Title,Default Title,,,,,,,,"",40000.0,shopify,deny,manual,110.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,kg,,,active
test-inventory-and-weight-multiple-variants-with-sku,Test inventory and weight - multiple variants - with SKU with barcode,"",Jeffrey Shop,Business & Industrial > Advertising & Marketing,"","",true,Size,S,,,,,,,,'123123123,9071.8474,shopify,deny,manual,10.00,,true,true,'12313123,,,,false,,,5863,,,,,,,,,,,,,,,lb,,10.00,active
test-inventory-and-weight-multiple-variants-with-sku,,,,,,,,,M,,,,,,,,'12312123123,0.0,shopify,deny,manual,10.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,lb,,,
test-inventory-and-weight-multiple-variants-with-sku,,,,,,,,,L,,,,,,,,'1231231231,0.0,shopify,deny,manual,12.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,lb,,,
test-inventory-and-weight-single-variant,Test inventory and weight - single variant - with SKU with barCode,"",Jeffrey Shop,Business & Industrial > Advertising & Marketing,"","",true,Title,Default Title,,,,,,,,'12389123123,40000.0,shopify,deny,manual,10.00,,true,true,'123,,,,false,,,5863,,,,,,,,,,,,,,,kg,,,active
macbook-hub-3,Macbook Hub,"",jeffrey-dev-test,Uncategorized,"","abconvert-price-test, dup_7124476461120, price-test-21860",false,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,11.90,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/SwitchDrive_gray_07.jpg?v=1676348071,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,draft
macbook-hub-2,Macbook Hub,"",jeffrey-dev-test,Uncategorized,"","abconvert-price-test, dup_7110709870656, price-test-20102",false,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,20.90,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/SwitchDrive_gray_07.jpg?v=1676348071,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,draft
apple-watch-band-8,Apple Watch Band,"",jeffrey-dev-test,,"","abconvert-price-test, dup_7110709837888, price-test, price-test-20102",false,Title,Metal Mesh,,,,,,,,'1233,0.0,shopify,deny,manual,70.00,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/6654464491584-1672993090198_a8daa264-f57a-41ec-b4a8-dea21513acd2.jpg?v=1677938627,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,draft
